,pNCI,sNCI,codedUsefulness
1220,24758019,24758287,17.961096926460886
1229,24758019,24758793,468.82899803059786
1240,24758019,24759304,269.27154940636814
1242,24758019,24759307,0.5006689493816646
1244,24758019,24759309,44.46431284464095
1248,24758019,24759819,129.3714549471939
1249,24758019,24759821,32.605288008795014
1252,24758019,24760072,2.9018601536634865
1258,24758019,24760324,39.54361063294291
1259,24758019,24760327,60.23650755208509
1261,24758019,24760329,16.032724713661903
1263,24758019,24758026,0.46248499061436715
1272,24758019,24758021,4.081917189785844
1279,24758019,24762629,3.9161409728406964
1294,24758019,24758023,0.5120081867218262
1334,24758020,24757768,32.144267458352964
1336,24758020,24758024,1.8645351895507896
1337,24758020,24758025,287.9843527149196
1341,24758020,24758287,7.148189508330586
1344,24758020,24758536,287.9843527149196
1348,24758020,24758791,64.42259375502859
1350,24758020,24758793,29.170135908761477
1353,24758020,24758796,94.9994078965201
1359,24758020,24759301,86.45674494156009
1361,24758020,24759304,13.233983998130316
1363,24758020,24759307,1.0776285146832203
1369,24758020,24759819,105.70960646694122
1370,24758020,24759821,79.46811069548534
1373,24758020,24760072,3.702365646975014
1374,24758020,24760073,501.4098809527864
1377,24758020,24760077,165.40357611425705
1379,24758020,24760324,13.347702834715308
1380,24758020,24760327,138.36201706008666
1382,24758020,24760329,5.900612884936626
1384,24758020,24758026,1.963235029200318
1393,24758020,24758021,5.639787886966102
1400,24758020,24762629,25.211196404995246
1415,24758020,24758023,2.534368510490756
1416,24758020,24759824,287.9843527149196
1457,24758021,24758024,0.7904281494016983
1458,24758021,24758025,2.8545790399953517
1462,24758021,24758287,2.960766113977223
1465,24758021,24758536,15.498443494235502
1469,24758021,24758791,199.181669660675
1471,24758021,24758793,14.121970190879065
1474,24758021,24758796,24.1183137233569
1484,24758021,24759307,0.7419459905992191
1490,24758021,24759819,26.128801830080505
1491,24758021,24759821,58.08231847593402
1494,24758021,24760072,0.6368258847016672
1495,24758021,24760073,479.6742137320623
1501,24758021,24760327,90.88126903519932
1503,24758021,24760329,26.128801830080505
1504,24758021,24757762,479.6742137320623
1505,24758021,24758026,10.774276088643056
1510,24758021,24758538,479.6742137320623
1512,24758021,24760070,5.272071802005605
1522,24758021,24758273,43.66388513176426
1523,24758021,24758276,6.021224314457769
1526,24758021,24758787,479.6742137320623
1528,24758021,24760321,31.568167230811493
1529,24758021,24762625,101.12719013353846
1530,24758021,24758020,2.952595663001506
1535,24758021,24758017,1.7305186671575123
1539,24758021,24758018,4.873680075722243
1540,24758021,24758019,35.39710091244898
1542,24758021,24758275,82.70892283350207
1544,24758021,24759297,5.733897899192448
1578,24758022,24758024,7.3951810286830835
1579,24758022,24758025,0.7479107862472293
1581,24758022,24758285,466.96551720107675
1582,24758022,24758286,48.40895129469934
1583,24758022,24758287,2.0743002685713856
1586,24758022,24758536,22.21850330998889
1592,24758022,24758793,80.51759678218222
1605,24758022,24759307,0.8261548198979971
1607,24758022,24759309,111.36886950952692
1611,24758022,24759819,59.99708213784404
1612,24758022,24759821,27.166292725577524
1613,24758022,24759822,193.90446417038436
1614,24758022,24760071,3.1175956150164246
1615,24758022,24760072,0.549810892454845
1622,24758022,24760327,11.6366430448504
1624,24758022,24760329,7.26486755509282
1626,24758022,24758026,3.1562038860915207
1630,24758022,24758537,268.201260724705
1631,24758022,24758538,17.193783738400143
1643,24758022,24758273,10.868526369274724
1644,24758022,24758276,8.013534494455461
1649,24758022,24760321,1.6906515192847762
1651,24758022,24758020,268.201260724705
1656,24758022,24758017,5.362650606282779
1660,24758022,24758018,1.455341774317711
1661,24758022,24758019,3.8693393361158854
1663,24758022,24758275,4.896793615623732
1665,24758022,24759297,7.745284700445313
1667,24758022,24762626,13.233845207838163
1668,24758022,24758274,111.36886950952692
1669,24758022,24760322,268.201260724705
1699,24758023,24758024,4.427632222474434
1700,24758023,24758025,2.6756608455042614
1704,24758023,24758287,12.205569729875414
1711,24758023,24758791,195.28911567803058
1713,24758023,24758793,270.1164578895325
1726,24758023,24759307,0.913009709020663
1728,24758023,24759309,11.190977445270116
1732,24758023,24759819,155.1411654176151
1733,24758023,24759821,15.3641679336195
1736,24758023,24760072,3.296837239847842
1743,24758023,24760327,69.06545773519758
1745,24758023,24760329,3.4786785740411994
1747,24758023,24758026,0.9309591577375625
1765,24758023,24758276,470.30006914241034
1770,24758023,24760321,11.62772910150734
1771,24758023,24762625,6.952382514811156
1772,24758023,24758020,3.591303110028565
1777,24758023,24758017,7.875689254663962
1781,24758023,24758018,5.806173693116193
1782,24758023,24758019,1.3098086680619763
1784,24758023,24758275,35.81154316005213
1786,24758023,24759297,6.500534661848692
1788,24758023,24762626,2.395218687220103
1818,24758024,24757768,276.60299166110997
1819,24758024,24758022,4.555343290684374
1834,24758024,24758793,28.674624266788427
1845,24758024,24759304,40.62026243124033
1847,24758024,24759307,0.6818743067472557
1853,24758024,24759819,18.450122763903487
1854,24758024,24759821,21.761452501167533
1863,24758024,24760324,1.6038097861467215
1867,24758024,24757762,158.8667007541878
1870,24758024,24758282,65.9683881347031
1871,24758024,24758535,481.5937803998401
1877,24758024,24758021,0.7425472008615431
1878,24758024,24758281,61.876563761949285
1884,24758024,24762629,55.18332468346949
1885,24758024,24758273,91.24495891005547
1886,24758024,24758276,3.7453339943217325
1890,24758024,24759810,481.5937803998401
1891,24758024,24760321,21.40543241477086
1892,24758024,24762625,58.31475307287844
1893,24758024,24758020,1.2862517842239873
1898,24758024,24758017,0.8032057937202234
1899,24758024,24758023,6.4145626413468
1902,24758024,24758018,2.236236391455016
1903,24758024,24758019,6.865687612278127
1905,24758024,24758275,19.804590261242996
1907,24758024,24759297,4.665778861325404
1940,24758025,24758022,0.836627474550205
1943,24758025,24758279,154.90615901543566
1955,24758025,24758793,88.9702250199555
1966,24758025,24759304,34.6527735216249
1968,24758025,24759307,0.5190285775385037
1970,24758025,24759309,154.90615901543566
1974,24758025,24759819,88.9702250199555
1975,24758025,24759821,68.9608380187235
1984,24758025,24760324,1.2469228104873937
1991,24758025,24758282,154.90615901543566
1998,24758025,24758021,2.90252539398919
1999,24758025,24758281,27.31883927626052
2005,24758025,24762629,7.3379342945075035
2006,24758025,24758273,129.58080544520928
2007,24758025,24758276,10.474909685678679
2012,24758025,24760321,2.3608054393154845
2014,24758025,24758020,46.504895677895036
2019,24758025,24758017,1.7410873053940574
2020,24758025,24758023,2.5097577442979113
2023,24758025,24758018,1.1650444136344016
2024,24758025,24758019,2.1847251610558054
2026,24758025,24758275,10.1946350103616
2028,24758025,24759297,3.2971947248570883
2029,24758025,24759300,469.5876629482489
2030,24758025,24762626,10.547715477678747
2036,24758025,24759306,469.5876629482489
2061,24758026,24758022,1.7109943423000817
2087,24758026,24759304,81.71792317704418
2089,24758026,24759307,0.5265429385553935
2091,24758026,24759309,75.11234628630899
2095,24758026,24759819,64.91817935258322
2096,24758026,24759821,17.22815969227315
2105,24758026,24760324,6.550664604437426
2119,24758026,24758021,2.553635287737024
2120,24758026,24758281,130.77819074009696
2121,24758026,24762630,473.926865504861
2126,24758026,24762629,1.844076903420609
2128,24758026,24758276,89.79235017002
2133,24758026,24760321,34.97298083396095
2134,24758026,24762625,9.419492172615032
2135,24758026,24758020,1.2197759008377866
2140,24758026,24758017,2.421600309268744
2141,24758026,24758023,0.5008599054245269
2144,24758026,24758018,1.6209524962562252
2145,24758026,24758019,0.6397226530198036
2147,24758026,24758275,113.02911520711274
2149,24758026,24759297,14.375059641279185
2151,24758026,24762626,2.481444974671037
2182,24758027,24758022,6.0520473670222446
2195,24758027,24758791,292.624352841831
2206,24758027,24759301,5.123783187311285
2208,24758027,24759304,0.7474319926429783
2209,24758027,24759305,121.51040333998294
2210,24758027,24759307,0.4396168495460879
2211,24758027,24759308,74.8204497844887
2212,24758027,24759309,0.6673584056886954
2217,24758027,24759821,509.4885904010489
2226,24758027,24760324,36.47904426151676
2233,24758027,24758282,509.4885904010489
2240,24758027,24758021,65.46056974357461
2241,24758027,24758281,509.4885904010489
2247,24758027,24762629,14.854977175947626
2248,24758027,24758273,509.4885904010489
2249,24758027,24758276,34.45212898090455
2254,24758027,24760321,12.596628616906077
2255,24758027,24762625,69.7894002158239
2256,24758027,24758020,12.12348391569999
2261,24758027,24758017,48.32051807701835
2262,24758027,24758023,11.060874530800215
2265,24758027,24758018,13.22261875924358
2266,24758027,24758019,74.8204497844887
2268,24758027,24758275,509.4885904010489
2269,24758027,24758278,23.819256293479125
2270,24758027,24759297,1.0853587447559399
2271,24758027,24759300,4.741039609933774
2272,24758027,24762626,17.42317635846947
2274,24758027,24760322,292.624352841831
2275,24758027,24759299,211.56190014797386
2278,24758027,24759306,48.32051807701835
2327,24758028,24759301,0.6987450725828901
2328,24758028,24759303,17.401505531953436
2329,24758028,24759304,0.4725384547397627
2330,24758028,24759305,14.556561967077021
2331,24758028,24759307,0.726383763801741
2332,24758028,24759308,59.149781186009356
2333,24758028,24759309,0.5163474071203598
2366,24758028,24759302,32.962247264203285
2390,24758028,24758278,7.784536257740377
2391,24758028,24759297,1.2940916566653105
2392,24758028,24759300,26.782640306758864
2396,24758028,24759299,38.83020465987205
2397,24758028,24758277,460.37085770929997
2398,24758028,24759298,15.743478451313436
2399,24758028,24759306,0.7330300765864806
2420,24758029,24757761,163.2967697831866
2448,24758029,24759301,2.327988140740994
2449,24758029,24759303,1.9231743355092275
2450,24758029,24759304,63.602019426622476
2452,24758029,24759307,5.055743285987451
2454,24758029,24759309,0.4303972347979369
2484,24758029,24762630,495.0232384360181
2487,24758029,24759302,284.31618983838115
2489,24758029,24762629,20.980841943639916
2504,24758029,24758023,495.0232384360181
2510,24758029,24758275,284.31618983838115
2512,24758029,24759297,1.2057687207089205
2517,24758029,24759299,1.0323032744594092
2519,24758029,24759298,118.06049143842347
2520,24758029,24759306,20.66354790073864
2542,24758273,24757766,491.98123200504716
2544,24758273,24757768,63.211173629707474
2545,24758273,24758022,5.56638323021112
2546,24758273,24758024,67.39125418304323
2547,24758273,24758025,13.210470142491358
2548,24758273,24758279,1.3414315183053842
2549,24758273,24758285,1.3850997048850548
2550,24758273,24758286,3.5771060021865275
2551,24758273,24758287,0.5168697163495056
2552,24758273,24758533,12.662840841808965
2553,24758273,24758534,13.942792839482292
2554,24758273,24758536,0.7370236908027727
2558,24758273,24758791,23.83342154702821
2560,24758273,24758793,20.231753632681855
2561,24758273,24758794,103.72181402875864
2563,24758273,24758796,53.53681733164027
2567,24758273,24758800,491.98123200504716
2571,24758273,24759304,491.98123200504716
2573,24758273,24759307,0.8848252844535275
2578,24758273,24759816,491.98123200504716
2579,24758273,24759819,13.210470142491358
2580,24758273,24759821,491.98123200504716
2582,24758273,24760071,1.2376272121890395
2583,24758273,24760072,15.896087607314591
2584,24758273,24760073,30.0011141786355
2585,24758273,24760074,4.515588984432031
2586,24758273,24760075,11.2868854536034
2588,24758273,24760078,282.5690159469333
2589,24758273,24760324,1.3576975670605829
2590,24758273,24760327,1.901037364420599
2592,24758273,24760329,135.76021973594248
2595,24758273,24758280,11.795160192335262
2596,24758273,24758282,23.408766234551837
2597,24758273,24758535,13.688706062511095
2598,24758273,24758537,9.282815221939801
2599,24758273,24758538,0.7164869295482473
2600,24758273,24758802,204.29208080637434
2601,24758273,24760070,21.516544806648437
2603,24758273,24758021,77.97377054234575
2604,24758273,24758281,2.1028662965462437
2641,24758273,24759306,491.98123200504716
2664,24758274,24757767,470.8284542720685
2666,24758274,24758022,3.2021873131436975
2668,24758274,24758025,41.21803327789327
2669,24758274,24758279,5.755918230383133
2670,24758274,24758285,8.78553674576909
2671,24758274,24758286,1.1197708200462446
2672,24758274,24758287,16.692908621116448
2674,24758274,24758534,9.087634698891327
2675,24758274,24758536,10.15393561052424
2678,24758274,24758790,270.4199354541098
2680,24758274,24758792,44.65394370837445
2681,24758274,24758793,195.5085242460572
2683,24758274,24758795,270.4199354541098
2689,24758274,24758801,129.92319676384508
2694,24758274,24759307,0.8647649972456175
2695,24758274,24759308,69.14305321781642
2698,24758274,24759813,2.8357353266807124
2699,24758274,24759816,470.8284542720685
2700,24758274,24759819,17.56300533761709
2701,24758274,24759821,10.15393561052424
2702,24758274,24759822,5.54072935019437
2703,24758274,24760071,3.366252122295121
2706,24758274,24760074,270.4199354541098
2710,24758274,24760324,2.2542719098277035
2711,24758274,24760327,1.98303313700932
2712,24758274,24760328,89.2053110155837
2716,24758274,24758280,0.7096892196062626
2717,24758274,24758282,7.524065490847548
2719,24758274,24758537,0.8945495977985736
2720,24758274,24758538,0.7477791472233564
2721,24758274,24758802,46.62777554809737
2725,24758274,24758281,1.2556700797406894
2729,24758274,24759302,470.8284542720685
2730,24758274,24759823,470.8284542720685
2747,24758274,24759824,20.267797683759845
2748,24758274,24760325,8.642777427543425
2767,24758274,24759814,470.8284542720685
2786,24758275,24757768,150.10297191678754
2787,24758275,24758022,1.240054724510195
2788,24758275,24758024,125.56288351813633
2789,24758275,24758025,6.644530559043992
2790,24758275,24758279,2.1252506743849016
2791,24758275,24758285,2.104716761154119
2792,24758275,24758286,1.2094259347965346
2793,24758275,24758287,1.2931512098443234
2794,24758275,24758533,261.3444535091634
2795,24758275,24758534,49.515514718672904
2796,24758275,24758536,10.292322904039079
2799,24758275,24758790,86.21151846047644
2801,24758275,24758792,31.645419632906563
2802,24758275,24758793,23.78971783590609
2813,24758275,24759304,125.56288351813633
2814,24758275,24759305,261.3444535091634
2815,24758275,24759307,0.9352513000070481
2816,24758275,24759308,58.46320260051384
2818,24758275,24759310,455.0271224333584
2819,24758275,24759813,455.0271224333584
2821,24758275,24759819,15.560736690497167
2822,24758275,24759821,8.26350466922803
2824,24758275,24760071,1.5879113026142841
2825,24758275,24760072,3.598691340090839
2827,24758275,24760074,58.46320260051384
2831,24758275,24760324,0.8569222426056186
2832,24758275,24760327,3.770416184869758
2833,24758275,24760328,86.21151846047644
2834,24758275,24760329,108.52162387775797
2837,24758275,24758280,1.2375894065092323
2838,24758275,24758282,3.5127895690234374
2839,24758275,24758535,35.79878529914994
2840,24758275,24758537,24.786226086387046
2841,24758275,24758538,1.695795286759613
2842,24758275,24758802,188.94712159322424
2845,24758275,24758021,34.6485669537127
2846,24758275,24758281,0.6847329412221465
2867,24758275,24758023,66.82256404957536
2868,24758275,24759824,125.56288351813633
2869,24758275,24760325,12.895510014839152
2908,24758276,24758022,4.188073203778623
2909,24758276,24758024,24.612239889890816
2910,24758276,24758025,14.728152035411131
2911,24758276,24758279,11.20191080590588
2912,24758276,24758285,51.22749815418483
2913,24758276,24758286,2.9300991026442906
2914,24758276,24758287,5.115914108490586
2916,24758276,24758534,23.228671273912052
2917,24758276,24758536,30.179342748960853
2920,24758276,24758790,270.3803562542694
2922,24758276,24758792,11.459679220629987
2923,24758276,24758793,8.882399502790467
2928,24758276,24758798,470.7595428825817
2930,24758276,24758800,470.7595428825817
2931,24758276,24758801,470.7595428825817
2934,24758276,24759304,31.833231981927895
2936,24758276,24759307,0.6182315142847543
2937,24758276,24759308,2.1144643702572092
2939,24758276,24759310,15.210407326196602
2940,24758276,24759813,69.13293330296102
2942,24758276,24759819,38.31923794321572
2943,24758276,24759821,5.115914108490586
2944,24758276,24759822,155.2927352263958
2945,24758276,24760071,9.086304614592956
2946,24758276,24760072,5.472151333862894
2947,24758276,24760073,64.48432165633315
2948,24758276,24760074,11.37228390636687
2949,24758276,24760075,74.61035948007358
2952,24758276,24760324,2.1732931614506916
2953,24758276,24760327,2.0797135420918886
2954,24758276,24760328,1.7583137292463877
2955,24758276,24760329,1.998194557050159
2958,24758276,24758280,2.691742055589151
2959,24758276,24758282,0.6933240827498949
2960,24758276,24758535,195.4799092293788
2961,24758276,24758537,7.421927499867401
2962,24758276,24758538,1.7104667740238133
2963,24758276,24758802,33.70607021410812
2964,24758276,24760070,35.846530319860854
2966,24758276,24758021,7.136295960656685
2967,24758276,24758281,2.0854159461334847
2973,24758276,24762629,470.7595428825817
2989,24758276,24759824,3.294712877261587
2990,24758276,24760325,0.8406852929348333
3004,24758276,24759306,470.7595428825817
3029,24758277,24758022,44.84413512879758
3031,24758277,24758025,282.94736416382966
3034,24758277,24758286,43.127492994966616
3037,24758277,24758534,282.94736416382966
3038,24758277,24758536,492.63997451184764
3043,24758277,24758792,78.0781741938099
3044,24758277,24758793,56.44905057322897
3049,24758277,24758798,492.63997451184764
3052,24758277,24758801,282.94736416382966
3055,24758277,24759304,72.34616273894927
3056,24758277,24759305,4.573683091693129
3057,24758277,24759307,1.0310105613089617
3058,24758277,24759308,0.8440053712663375
3060,24758277,24759310,2.8711532171639336
3061,24758277,24759813,204.56561944702636
3063,24758277,24759819,492.63997451184764
3064,24758277,24759821,2.278694083167493
3065,24758277,24759822,117.49209527384713
3066,24758277,24760071,78.0781741938099
3067,24758277,24760072,282.94736416382966
3069,24758277,24760074,103.86069324475561
3073,24758277,24760324,40.1002777088006
3074,24758277,24760327,40.1002777088006
3075,24758277,24760328,1.7416595188381572
